name,organ_system,key_gene_or_marker,aliases,potential_causes,cause_established,source
Malignant phosphaturic mesenchymal tumor,Soft tissue sarcoma,FN1::FGFR1; FN1::FGF1,Malignant phosphaturic mesenchymal tumor mixed connective tissue variant,"Cause not established; arises sporadically. Most harbor a somatic FN1::FGFR1 (or FN1::FGF1) fusion driving FGF23 secretion, which is an acquired event, not an inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet
Malignant solitary fibrous tumor,Soft tissue sarcoma,NAB2::STAT6,Malignant SFT; Hemangiopericytoma,"Cause not established; arises sporadically. The defining NAB2::STAT6 fusion is a somatic event, not an inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet; NCI
Malignant tenosynovial giant cell tumor,Soft tissue sarcoma,CSF1 rearrangement,Malignant giant cell tumor of tendon sheath,"Cause not established; arises sporadically as a rare malignant counterpart of tenosynovial giant cell tumor, typically with somatic CSF1 rearrangement, which is an acquired event, not an inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet
Malignant Triton tumor,Soft tissue sarcoma,NF1; H3K27me3 loss,MPNST with rhabdomyoblastic differentiation,"This is a malignant peripheral nerve sheath tumor with rhabdomyoblastic differentiation; about half of cases arise in patients with neurofibromatosis type 1 (germline NF1), and prior therapeutic radiation is also an established risk factor.",yes,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet
Myxofibrosarcoma,Soft tissue sarcoma,Complex karyotype; TP53; CDKN2A loss,Myxoid malignant fibrous histiocytoma,"Most cases are sporadic with no established cause and complex genomic changes; a recognized subset is radiation-associated, arising years after therapeutic radiation to the region.",yes,
Myxoid liposarcoma,Soft tissue sarcoma,FUS-DDIT3,Myxoid/round cell liposarcoma,"Cause not established; arises sporadically. The defining FUS::DDIT3 (or EWSR1::DDIT3) fusion is a somatic event, not an inherited or environmental cause.",no,
Myxoid pleomorphic liposarcoma,Soft tissue sarcoma,RB1 loss; TP53,,"Cause not established; arises sporadically as a rare aggressive liposarcoma of children and young adults, with reported occurrence in Li-Fraumeni syndrome (germline TP53) but most cases having no identified inherited cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet
Myxoinflammatory fibroblastic sarcoma,Soft tissue sarcoma,TGFBR3::MGEA5 (t(1;10)); BRAF amplification; VGLL3 amplification,MIFS; Inflammatory myxohyaline tumor; Acral myxoinflammatory fibroblastic sarcoma,"Cause not established; arises sporadically, typically in the distal extremities, with recurrent somatic TGFBR3/MGEA5 rearrangement or BRAF alteration that is acquired, not an inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet; NCI
NTRK-rearranged spindle cell neoplasm,Soft tissue sarcoma,NTRK1/NTRK2/NTRK3 fusions; RET; BRAF fusions,NTRK-rearranged spindle cell tumor,"Cause not established; arises sporadically. The defining NTRK1/2/3 gene rearrangement is a somatic event, not an inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet
Papillary intralymphatic angioendothelioma,Soft tissue sarcoma,,Dabska tumor,Cause not established; arises sporadically (Dabska tumor) as a rare low-grade vascular tumor with no recognized inherited or environmental cause.,no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet
Pleomorphic liposarcoma,Soft tissue sarcoma,TP53; RB1; complex karyotype,,"Cause not established; arises sporadically with complex genomic changes and no defining fusion, and no consistent inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet; NCI
Pleomorphic rhabdomyosarcoma,Soft tissue sarcoma,Complex karyotype; MYOD1,,"Cause not established; arises sporadically in adults with complex genomic changes and no defining fusion, and no consistent inherited or environmental cause.",no,
Pseudomyogenic hemangioendothelioma,Soft tissue sarcoma,SERPINE1::FOSB,Epithelioid sarcoma-like hemangioendothelioma,"Cause not established; arises sporadically. The defining SERPINE1::FOSB (or ACTB::FOSB) fusion is a somatic event, not an inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet
Retiform hemangioendothelioma,Soft tissue sarcoma,,,Cause not established; arises sporadically as a rare low-grade vascular tumor with no recognized inherited or environmental cause.,no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet
Round cell sarcoma with EWSR1-non-ETS fusion,Soft tissue sarcoma,EWSR1::NFATC2; FUS::NFATC2; EWSR1::PATZ1,EWSR1-NFATC2 sarcoma; EWSR1-PATZ1 sarcoma,"Cause not established; arises sporadically. The defining EWSR1 (or FUS) fusion to a non-ETS partner such as NFATC2 or PATZ1 is a somatic event, not an inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet; NCI
Sarcoma with BCOR genetic alteration,Soft tissue sarcoma,BCOR::CCNB3; BCOR internal tandem duplication,BCOR-rearranged sarcoma; BCOR-CCNB3 sarcoma,"Cause not established; arises sporadically. The defining BCOR alteration (BCOR::CCNB3 fusion or BCOR internal tandem duplication) is a somatic event, not an inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet; NCI
Sclerosing epithelioid fibrosarcoma,Soft tissue sarcoma,EWSR1::CREB3L1; FUS::CREB3L2,SEF,"Cause not established; arises sporadically. The recurrent EWSR1::CREB3L1 (or FUS::CREB3L2) fusion is a somatic event, not an inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet; NCI
Spindle cell/sclerosing rhabdomyosarcoma,Soft tissue sarcoma,MYOD1 p.L122R; VGLL2/NCOA2 fusions (infantile); TFCP2/MEIS1 fusions,Sclerosing rhabdomyosarcoma; Spindle cell rhabdomyosarcoma,"Cause not established; arises sporadically. It is driven by somatic events (for example VGLL2/NCOA2 fusions in infants or MYOD1 mutation in adults), which are acquired, not an inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet
Synovial sarcoma,Soft tissue sarcoma,SS18-SSX,Monophasic synovial sarcoma; Biphasic synovial sarcoma; Poorly differentiated synovial sarcoma,"Cause not established; arises sporadically. The defining SS18::SSX gene fusion is a somatic event, not an inherited or environmental cause.",no,
Undifferentiated pleomorphic sarcoma,Soft tissue sarcoma,Complex karyotype; TP53; RB1,Malignant fibrous histiocytoma; UPS; Undifferentiated sarcoma,"Most cases are sporadic with no established cause, but a recognized subset is radiation-associated, arising years after therapeutic radiation to a prior site; occurrence in Li-Fraumeni syndrome (germline TP53) is also reported.",yes,
Undifferentiated round cell sarcoma,Soft tissue sarcoma,,Undifferentiated small round cell sarcoma,Cause not established; arises sporadically as an undifferentiated small round cell sarcoma lacking a defining recurrent alteration and with no consistent inherited or environmental cause.,no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet
Undifferentiated spindle cell sarcoma,Soft tissue sarcoma,,,Cause not established; arises sporadically as a diagnosis of exclusion with no defining alteration and no consistent inherited or environmental cause.,no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet
Well-differentiated liposarcoma,Soft tissue sarcoma,MDM2 amplification; CDK4 amplification,Atypical lipomatous tumor; ALT/WDLPS,"Cause not established; arises sporadically. The characteristic MDM2/CDK4 amplification on supernumerary ring or giant marker chromosomes is a somatic event, not an inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet; NCI
Adamantinoma of long bones,Bone sarcoma and pediatric embryonal,,Adamantinoma,"A rare low-grade biphasic bone tumor of the tibia/fibula that shows a well-recognized clinicopathologic relationship with osteofibrous dysplasia (regarded as part of a spectrum/possible precursor), but it has no established environmental exposure or hereditary predisposition.",no,"WHO Classification of Tumours 5th ed (Soft Tissue and Bone, 2020)"
Angiosarcoma of bone,Bone sarcoma and pediatric embryonal,,Primary bone angiosarcoma,"Predominantly sporadic; a subset is secondary to prior radiation therapy or arises in bone infarcts or at sites of chronic injury, but no strong hereditary predisposition is established for the bone form.",no,"WHO Classification of Tumours 5th ed (Soft Tissue and Bone, 2020)"
Atypical teratoid rhabdoid tumor,Bone sarcoma and pediatric embryonal,SMARCB1,ATRT,"Germline SMARCB1 (or rarely SMARCA4) loss-of-function variants in rhabdoid tumor predisposition syndrome underlie a substantial minority of cases; the remainder are sporadic from biallelic somatic SMARCB1 inactivation, with no established environmental cause.",yes,
Clear cell chondrosarcoma,Bone sarcoma and pediatric embryonal,,,A rare low-grade chondrosarcoma of the epiphyses that is sporadic; no established environmental cause or hereditary predisposition is defined.,no,"WHO Classification of Tumours 5th ed (Soft Tissue and Bone, 2020)"
"CNS embryonal tumor, not otherwise specified",Bone sarcoma and pediatric embryonal,,CNS embryonal tumour NOS; CNS embryonal tumor NEC,"A heterogeneous group of primitive CNS embryonal tumors lacking a defining molecular alteration; it is sporadic with no established environmental cause, though rare cases may occur with cancer predisposition syndromes.",no,"WHO Classification of Tumours 5th ed (Central Nervous System, 2021)"
"CNS neuroblastoma, FOXR2-activated",Bone sarcoma and pediatric embryonal,FOXR2,"Central nervous system neuroblastoma, FOXR2-activated",A CNS embryonal tumor defined by somatic FOXR2 activation; it is sporadic with no established hereditary predisposition or environmental cause.,no,"WHO Classification of Tumours 5th ed (Central Nervous System, 2021)"
CNS tumor with BCOR internal tandem duplication,Bone sarcoma and pediatric embryonal,BCOR,CNS tumour with BCOR internal tandem duplication,A CNS embryonal tumor defined by a somatic BCOR internal tandem duplication; it is sporadic with no established hereditary predisposition or environmental cause.,no,"WHO Classification of Tumours 5th ed (Central Nervous System, 2021)"
Conventional chondrosarcoma,Bone sarcoma and pediatric embryonal,IDH1,Central chondrosarcoma; Primary conventional chondrosarcoma,"Most are sporadic and arise de novo, but a subset develops from benign precursor lesions, including secondary transformation of enchondromas (Ollier disease and Maffucci syndrome, driven by IDH1/IDH2 mutations) or osteochondromas (multiple osteochondromas, EXT1/EXT2).",yes,"WHO Classification of Tumours 5th ed (Soft Tissue and Bone, 2020)"
Conventional chordoma,Bone sarcoma and pediatric embryonal,T (brachyury / TBXT),Chordoma,"Arises from persistent notochordal remnants along the axial skeleton (clivus, spine, sacrum), often from benign notochordal cell tumors; rare familial chordoma is caused by germline duplication of the T (TBXT/brachyury) gene, and tuberous sclerosis is a rare predisposition.",yes,"WHO Classification of Tumours 5th ed (Soft Tissue and Bone, 2020); RARECAREnet"
Conventional osteosarcoma,Bone sarcoma and pediatric embryonal,TP53,Conventional central osteosarcoma; High-grade central osteosarcoma,"Most cases are sporadic, but established risk factors include hereditary retinoblastoma (germline RB1), Li-Fraumeni syndrome (germline TP53), Rothmund-Thomson and other RECQL-helicase syndromes, prior therapeutic radiation, and rapid bone growth in adolescence.",yes,"WHO Classification of Tumours 5th ed (Soft Tissue and Bone, 2020)"
Dedifferentiated adamantinoma,Bone sarcoma and pediatric embryonal,,,Arises from high-grade transformation of a conventional adamantinoma of long bones; it is sporadic with no established environmental or hereditary cause.,no,"WHO Classification of Tumours 5th ed (Soft Tissue and Bone, 2020)"
Dedifferentiated chondrosarcoma,Bone sarcoma and pediatric embryonal,IDH1,,Arises when a low-grade cartilaginous tumor (often a preexisting or concurrent conventional chondrosarcoma or enchondroma) transforms to a high-grade nonchondroid sarcoma; it shares enchondromatosis-associated IDH mutation etiology but is otherwise sporadic.,yes,"WHO Classification of Tumours 5th ed (Soft Tissue and Bone, 2020)"
Dedifferentiated chordoma,Bone sarcoma and pediatric embryonal,T (brachyury / TBXT),,"Arises when a conventional chordoma (from notochordal remnants) transforms into a high-grade sarcomatous component; it is sporadic and shares the notochordal origin of conventional chordoma, sometimes after prior treatment.",no,"WHO Classification of Tumours 5th ed (Soft Tissue and Bone, 2020)"
Embryonal tumor with multilayered rosettes,Bone sarcoma and pediatric embryonal,C19MC (DICER1 in subset),"ETMR; Embryonal tumour with multilayered rosettes, C19MC-altered","Most cases are driven by amplification of the C19MC microRNA cluster (chr19q13.42), a somatic event; a minority arise in the context of germline DICER1 pathogenic variants (DICER1 syndrome), and it is otherwise sporadic with no environmental cause.",no,"WHO Classification of Tumours 5th ed (Central Nervous System, 2021)"
Ewing sarcoma,Bone sarcoma and pediatric embryonal,EWSR1-FLI1,Ewing sarcoma of bone; Ewing tumor,"Sporadic with no established environmental or hereditary cause; defined by a somatic EWSR1::FLI1 (or related ETS) fusion that is an oncogenic driver rather than an inherited risk factor, and incidence is notably higher in people of European ancestry than African or Asian ancestry.",no,
Fibrosarcoma of bone,Bone sarcoma and pediatric embryonal,,Primary bone fibrosarcoma,"A now-rare diagnosis of exclusion; most are sporadic primary bone tumors, though a subset is secondary to prior radiation, Paget disease of bone, or bone infarct, similar to other high-grade bone sarcomas.",no,"WHO Classification of Tumours 5th ed (Soft Tissue and Bone, 2020)"
Ganglioneuroblastoma,Bone sarcoma and pediatric embryonal,MYCN,Ganglioneuroblastoma nodular; Ganglioneuroblastoma intermixed,"Predominantly sporadic peripheral neuroblastic tumor; a minority relate to the same neuroblastoma predisposition genes (germline ALK or PHOX2B), and no established environmental cause exists.",no,
High-grade surface osteosarcoma,Bone sarcoma and pediatric embryonal,,,"A rare high-grade osteosarcoma arising on the bone surface; it is generally sporadic within the broader osteosarcoma risk context (RB1, TP53, radiation) and has no established subtype-specific cause.",no,"WHO Classification of Tumours 5th ed (Soft Tissue and Bone, 2020)"
Leiomyosarcoma of bone,Bone sarcoma and pediatric embryonal,,Primary bone leiomyosarcoma,"A rare primary smooth muscle sarcoma of bone that is largely sporadic; a subset is radiation-associated, and rare cases occur in Li-Fraumeni syndrome or in EBV-associated smooth muscle tumors of immunosuppressed patients, but no defined common cause exists.",no,"WHO Classification of Tumours 5th ed (Soft Tissue and Bone, 2020)"
Low-grade central osteosarcoma,Bone sarcoma and pediatric embryonal,MDM2,Low-grade intramedullary osteosarcoma,A rare intramedullary low-grade osteosarcoma characterized by MDM2 amplification; it is sporadic with no established environmental cause or defined hereditary predisposition.,no,"WHO Classification of Tumours 5th ed (Soft Tissue and Bone, 2020)"
Malignant giant cell tumor of bone,Bone sarcoma and pediatric embryonal,H3F3A,Malignancy in giant cell tumor of bone,"Usually arises from malignant transformation of a conventional (H3F3A-mutant) giant cell tumor of bone, either as primary malignancy or, importantly, secondary malignancy after radiotherapy of a giant cell tumor; otherwise sporadic with no environmental cause.",yes,"WHO Classification of Tumours 5th ed (Soft Tissue and Bone, 2020)"
Malignant rhabdoid tumor,Bone sarcoma and pediatric embryonal,SMARCB1,Extracranial malignant rhabdoid tumour; Rhabdoid tumor of soft tissue,"Germline SMARCB1 (rarely SMARCA4) mutations in rhabdoid tumor predisposition syndrome cause a notable fraction of extracranial cases; the rest are sporadic from biallelic somatic SMARCB1 loss, with no environmental cause established.",yes,
"Medulloblastoma, non-WNT/non-SHH",Bone sarcoma and pediatric embryonal,MYC,Group 3 medulloblastoma; Group 4 medulloblastoma,"Comprises group 3 and group 4 medulloblastoma, which are largely sporadic with no established hereditary syndrome or environmental cause; driven by somatic events such as MYC amplification and structural chromosomal changes.",no,"WHO Classification of Tumours 5th ed (Central Nervous System, 2021)"
"Medulloblastoma, SHH-activated and TP53-mutant",Bone sarcoma and pediatric embryonal,TP53,"SHH-activated medulloblastoma, TP53 mutant","This aggressive subgroup is strongly enriched for germline TP53 mutations (Li-Fraumeni syndrome), and some cases carry germline PTCH1 or SUFU variants; the TP53 mutation drives the SHH-activated phenotype.",yes,"WHO Classification of Tumours 5th ed (Central Nervous System, 2021)"
"Medulloblastoma, SHH-activated and TP53-wildtype",Bone sarcoma and pediatric embryonal,PTCH1,"SHH-activated medulloblastoma, TP53 wild-type","SHH-pathway medulloblastoma is associated with germline predisposition, notably Gorlin (nevoid basal cell carcinoma) syndrome from PTCH1 or SUFU mutations, and germline DICER1 or PTCH1 variants; many cases are still sporadic.",yes,"WHO Classification of Tumours 5th ed (Central Nervous System, 2021)"
"Medulloblastoma, WNT-activated",Bone sarcoma and pediatric embryonal,CTNNB1,WNT-activated medulloblastoma,"Mostly sporadic, but the WNT subgroup is enriched for germline APC mutations (familial adenomatous polyposis / Turcot syndrome); somatic CTNNB1 mutation is the usual driver in sporadic cases.",yes,"WHO Classification of Tumours 5th ed (Central Nervous System, 2021)"
Medulloepithelioma,Bone sarcoma and pediatric embryonal,,,"A rare embryonal CNS or intraocular tumor recapitulating primitive neural tube; most are sporadic, though intraocular (ciliary body) medulloepithelioma is associated with germline DICER1 pathogenic variants (DICER1 syndrome).",no,"WHO Classification of Tumours 5th ed (Central Nervous System, 2021)"
Mesenchymal chondrosarcoma,Bone sarcoma and pediatric embryonal,HEY1-NCOA2,,A rare aggressive chondrosarcoma defined by a somatic HEY1::NCOA2 fusion; it is sporadic with no established environmental exposure or hereditary predisposition.,no,"WHO Classification of Tumours 5th ed (Soft Tissue and Bone, 2020)"
Neuroblastoma,Bone sarcoma and pediatric embryonal,MYCN,Peripheral neuroblastoma,"Mostly sporadic, but familial neuroblastoma is driven by germline ALK activating mutations or PHOX2B mutations, and it also arises in predisposition syndromes (e.g., congenital central hypoventilation and Hirschsprung disease with PHOX2B); no strong environmental cause is established.",yes,
Parosteal osteosarcoma,Bone sarcoma and pediatric embryonal,MDM2,Juxtacortical osteosarcoma,A low-grade surface osteosarcoma defined by MDM2/CDK4 amplification (supernumerary ring chromosomes); it is sporadic with no established environmental or hereditary cause.,no,"WHO Classification of Tumours 5th ed (Soft Tissue and Bone, 2020)"
Periosteal chondrosarcoma,Bone sarcoma and pediatric embryonal,IDH1,Juxtacortical chondrosarcoma,"A rare surface chondrosarcoma that is generally sporadic; no established environmental or hereditary cause is defined, though it belongs to the cartilaginous tumor spectrum that can associate with enchondromatosis.",no,"WHO Classification of Tumours 5th ed (Soft Tissue and Bone, 2020)"
Periosteal osteosarcoma,Bone sarcoma and pediatric embryonal,,,An intermediate-grade chondroblastic surface osteosarcoma that is sporadic; no established environmental exposure or hereditary predisposition is defined for this subtype.,no,"WHO Classification of Tumours 5th ed (Soft Tissue and Bone, 2020)"
Pineoblastoma,Bone sarcoma and pediatric embryonal,DICER1,"Pineoblastoma, molecularly defined; Pineal parenchymal tumor of poor differentiation","Predisposition includes germline RB1 mutation (trilateral retinoblastoma) and germline DICER1 pathogenic variants (DICER1 syndrome), with additional familial cases linked to RB1 and DICER1 pathway loss; most cases are otherwise sporadic.",yes,
Poorly differentiated chordoma,Bone sarcoma and pediatric embryonal,SMARCB1,SMARCB1-deficient chordoma,"A rare aggressive chordoma variant defined by SMARCB1 (INI1) loss, arising from notochordal remnants; it is predominantly sporadic, though rare cases occur in patients with SMARCB1-related predisposition.",no,"WHO Classification of Tumours 5th ed (Soft Tissue and Bone, 2020)"
Retinoblastoma,Bone sarcoma and pediatric embryonal,RB1,,"Caused by biallelic RB1 inactivation; heritable (bilateral or familial) disease results from a germline RB1 loss-of-function mutation, whereas unilateral sporadic disease arises from two somatic RB1 hits.",yes,
Secondary osteosarcoma,Bone sarcoma and pediatric embryonal,TP53,Osteosarcoma secondary to Paget disease; Radiation-associated osteosarcoma,"By definition arises on a background of a predisposing condition, most commonly prior therapeutic or occupational radiation and Paget disease of bone in older adults, and also from bone infarcts, fibrous dysplasia, or chronic osteomyelitis.",yes,"WHO Classification of Tumours 5th ed (Soft Tissue and Bone, 2020)"
Secondary peripheral chondrosarcoma,Bone sarcoma and pediatric embryonal,EXT1,Peripheral chondrosarcoma,"Arises from malignant transformation of the cartilage cap of a preexisting osteochondroma, so multiple osteochondromas (hereditary EXT1/EXT2 mutations) is an established predisposing condition; solitary osteochondromas can also transform.",yes,"WHO Classification of Tumours 5th ed (Soft Tissue and Bone, 2020)"
Small cell osteosarcoma,Bone sarcoma and pediatric embryonal,,Small-cell osteosarcoma,"A rare osteosarcoma variant that is generally sporadic; it falls within the broader osteosarcoma risk context (hereditary RB1, Li-Fraumeni TP53, prior radiation) but has no established subtype-specific cause.",no,"WHO Classification of Tumours 5th ed (Soft Tissue and Bone, 2020)"
Telangiectatic osteosarcoma,Bone sarcoma and pediatric embryonal,TP53,,"A rare high-grade osteosarcoma variant that is generally sporadic but shares the osteosarcoma predisposition context (hereditary RB1 retinoblastoma, Li-Fraumeni TP53, and prior radiation); no distinct environmental cause is established for this subtype.",no,"WHO Classification of Tumours 5th ed (Soft Tissue and Bone, 2020)"
Undifferentiated high-grade pleomorphic sarcoma of bone,Bone sarcoma and pediatric embryonal,,Malignant fibrous histiocytoma of bone,"Mostly a sporadic primary high-grade bone sarcoma, but a meaningful proportion are secondary, arising after prior radiation, in Paget disease of bone, or at sites of bone infarct; a diagnosis of exclusion after ruling out osteosarcoma.",yes,"WHO Classification of Tumours 5th ed (Soft Tissue and Bone, 2020)"
Adamantinomatous craniopharyngioma,Central nervous system,CTNNB1,ACP,Sporadic tumor with no established cause; the defining somatic CTNNB1 (beta-catenin) mutation is a driver rather than an inherited or environmental cause.,no,WHO CNS5 (2021)
Anaplastic meningioma,Central nervous system,TERT,Malignant meningioma; Meningioma CNS WHO grade 3,"Most are sporadic, but prior therapeutic ionizing radiation is a well established risk factor for meningioma and neurofibromatosis type 2 (germline NF2 mutation) predisposes to meningiomas including higher grade lesions.",yes,WHO CNS5 (2021)
Angiocentric glioma,Central nervous system,MYB,,"Rare benign sporadic glioma of childhood and young adults with no established cause; the characteristic MYB or MYB-QKI alteration is a somatic driver, not an inherited cause.",no,WHO CNS5 (2021)
"Astroblastoma, MN1-altered",Central nervous system,MN1,Astroblastoma MN1-altered; High-grade neuroepithelial tumor with MN1 alteration,Rare sporadic tumor with no established cause; the defining MN1 gene rearrangement is a somatic alteration rather than a heritable or environmental cause.,no,WHO CNS5 (2021)
"Astrocytoma, isocitrate dehydrogenase-mutant",Central nervous system,IDH1,"Astrocytoma, IDH-mutant; IDH-mutant astrocytoma; Diffuse astrocytoma IDH-mutant CNS WHO grade 2-4","Sporadic with no established environmental cause; the defining IDH1 or IDH2 mutation is a somatic driver, not an inherited cause. Prior therapeutic ionizing radiation is an established risk factor for gliomas, and Li-Fraumeni syndrome (germline TP53) and constitutional mismatch repair deficiency predispose to gliomas in a minority.",no,WHO CNS5 (2021)
Atypical choroid plexus papilloma,Central nervous system,,aCPP,"Mostly sporadic with no established environmental cause; germline TP53 mutation (Li-Fraumeni syndrome) predisposes to choroid plexus tumors and should be considered, particularly in children, although the syndrome link is strongest for choroid plexus carcinoma.",yes,WHO CNS5 (2021)
Atypical meningioma,Central nervous system,,Meningioma CNS WHO grade 2,"Most are sporadic, but prior therapeutic ionizing radiation is a well established risk factor and neurofibromatosis type 2 (germline NF2 mutation) predisposes to meningiomas including higher grade tumors.",yes,WHO CNS5 (2021)
Central nervous system choriocarcinoma,Central nervous system,,CNS choriocarcinoma,"A CNS germ cell tumor that is usually sporadic, but Klinefelter syndrome and Down syndrome are established predisposing conditions for intracranial germ cell tumors.",yes,WHO CNS5 (2021)
Central nervous system embryonal carcinoma,Central nervous system,,CNS embryonal carcinoma,"A CNS germ cell tumor that is usually sporadic, but Klinefelter syndrome and Down syndrome are established predisposing conditions for intracranial germ cell tumors.",yes,WHO CNS5 (2021)
Central nervous system mixed germ cell tumor,Central nervous system,,Mixed germ cell tumor of the CNS,"A CNS germ cell tumor that is usually sporadic, but Klinefelter syndrome and Down syndrome are established predisposing conditions for intracranial germ cell tumors.",yes,WHO CNS5 (2021)
Central nervous system teratoma,Central nervous system,,Intracranial teratoma; Immature teratoma; Teratoma with somatic-type malignancy,"A CNS germ cell tumor that is usually sporadic, but Klinefelter syndrome and Down syndrome are established predisposing conditions for intracranial germ cell tumors.",yes,WHO CNS5 (2021)
Central nervous system yolk sac tumor,Central nervous system,,Endodermal sinus tumor; CNS yolk sac tumor,"Most intracranial germ cell tumors are sporadic, but Klinefelter syndrome and Down syndrome are established predisposing conditions for CNS germ cell tumors including yolk sac tumor.",yes,WHO CNS5 (2021)
Central neurocytoma,Central nervous system,,,Sporadic tumor of the lateral ventricles with no established cause and no recognized hereditary syndrome or environmental risk factor.,no,
Cerebellar liponeurocytoma,Central nervous system,,,Rare sporadic cerebellar tumor of adults with no established cause and no recognized hereditary or environmental risk factor.,no,WHO CNS5 (2021)
Chordoid glioma,Central nervous system,PRKCA,Chordoid glioma of the third ventricle,"Rare sporadic tumor of the third ventricle with no established cause; the recurrent PRKCA D463H mutation is a somatic driver, not an inherited or environmental cause.",no,WHO CNS5 (2021)
Choroid plexus carcinoma,Central nervous system,TP53,CPC,"Strongly linked to Li-Fraumeni syndrome from a germline TP53 mutation, especially in young children; germline TP53 alteration is found in a large proportion of pediatric cases and any child with this tumor warrants TP53 testing.",yes,
"Desmoplastic myxoid tumor of the pineal region, SMARCB1-mutant",Central nervous system,SMARCB1,DMT-SMARCB1,"Very rare, recently described sporadic pineal tumor with no established cause; the SMARCB1 alteration reported to date is a somatic event rather than a proven inherited cause.",no,WHO CNS5 (2021)
Diffuse glioneuronal tumor with oligodendroglioma-like features and nuclear clusters,Central nervous system,,DGONC,"Rare, recently described sporadic tumor with no established cause and no recognized hereditary or environmental risk factor.",no,WHO CNS5 (2021)
"Diffuse hemispheric glioma, H3 G34-mutant",Central nervous system,H3-3A,DHG H3 G34-mutant; H3 G34-mutant glioma,Sporadic high-grade glioma of adolescents and young adults with no established cause; the defining H3 G34R/V mutation is a somatic event rather than an inherited or environmental cause.,no,WHO CNS5 (2021)
Diffuse leptomeningeal glioneuronal tumor,Central nervous system,KIAA1549,DLGNT,Rare sporadic tumor with no established cause; recurrent KIAA1549-BRAF fusion combined with 1p deletion is a somatic feature rather than an inherited or environmental cause.,no,WHO CNS5 (2021)
"Diffuse midline glioma, H3 K27-altered",Central nervous system,H3-3A,DMG H3 K27-altered; Diffuse intrinsic pontine glioma; DIPG,"Sporadic pediatric high-grade glioma with no established cause; the defining H3 K27M (or EZHIP) alteration is a somatic driver, not a heritable or environmental cause.",no,WHO CNS5 (2021)
"Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype",Central nervous system,,pedHGG H3-wildtype IDH-wildtype,"Largely sporadic with no established cause; a subset arises in the context of cancer predisposition syndromes such as constitutional mismatch repair deficiency, Li-Fraumeni syndrome, and neurofibromatosis type 1, and prior therapeutic radiation is a recognized risk factor.",yes,WHO CNS5 (2021)
Esthesioneuroblastoma,Central nervous system,,Olfactory neuroblastoma; ENB,"No established cause; almost all cases are sporadic and no consistent risk factor is proven. Occupational exposure to wood dust, solvents, and heavy metals has been proposed but not confirmed, and there is no inherited predisposition.",no,
Extraventricular neurocytoma,Central nervous system,FGFR1,EVN,Rare sporadic tumor with no established cause and no recognized hereditary syndrome or environmental risk factor.,no,WHO CNS5 (2021)
Ganglioglioma,Central nervous system,BRAF,Anaplastic ganglioglioma,Sporadic glioneuronal tumor with no established cause; the frequent BRAF V600E mutation is a somatic driver rather than a heritable or environmental cause.,no,WHO CNS5 (2021)
Germinoma,Central nervous system,KIT,Central nervous system germinoma; Intracranial germinoma,"Most intracranial germinomas are sporadic, but Klinefelter syndrome (sex chromosome aneuploidy with extra X) and Down syndrome are established predisposing conditions that raise the risk of CNS germ cell tumors.",yes,
Gliosarcoma,Central nervous system,,Glioblastoma with sarcomatous differentiation,"A variant of IDH-wildtype glioblastoma that is essentially always sporadic with no established cause; prior therapeutic cranial ionizing radiation is a recognized risk factor for high-grade gliomas generally, and rare cases arise after radiotherapy.",no,
Hemangioblastoma,Central nervous system,VHL,Central nervous system hemangioblastoma,"About one quarter arise in von Hippel-Lindau disease from a germline VHL tumor suppressor mutation, which is the only established genetic cause; the remaining sporadic tumors have no established cause.",yes,
High-grade astrocytoma with piloid features,Central nervous system,,HGAP,"Sporadic tumor with no established cause; recurrent MAPK pathway alterations, CDKN2A/B loss, and ATRX changes are somatic events, although rare cases arise on a background of neurofibromatosis type 1.",no,WHO CNS5 (2021)
